Date,Open,High,Low,Close,Adj Close,Volume
01-08-2009,1411,1515.900024,1220,1437.75,1292.110962,22476205
01-09-2009,1447,1737.300049,1445.650024,1701.400024,1533.260986,17145762
01-10-2009,1715,1715,1368,1403.300049,1264.620483,18559431
01-11-2009,1403.300049,1692.300049,1390,1557.349976,1403.446655,17366501
01-12-2009,1565,1651.900024,1514.75,1560.099976,1405.924927,12261441
01-01-2010,1560.099976,1586.699951,1332,1389.449951,1252.139038,17280701
01-02-2010,1389,1490,1317.650024,1459.949951,1315.671997,10356753
01-03-2010,1459.949951,1519.800049,1349,1417.949951,1277.822632,11744919
01-04-2010,1425,1429,1247.699951,1279.699951,1153.235107,12394562
01-05-2010,1275,1300,1170,1236.849976,1114.619629,10509000
01-06-2010,1235,1433.949951,1231.050049,1423.75,1283.049438,14588923
01-07-2010,1424.300049,1435,1126.849976,1198.599976,1080.149414,20184040
01-08-2010,1211,1271.800049,1202.199951,1257.5,1133.229004,9204615
01-09-2010,1262,1497.25,1213.650024,1440.900024,1304.79248,12406033
01-10-2010,1456,1585,1451,1551.599976,1405.035645,10862288
01-11-2010,1560,1560,1336,1422,1287.677734,5857007
01-12-2010,1420,1454.800049,1346,1421.599976,1287.31543,5696157
01-01-2011,1430,1453.400024,1150.300049,1252.849976,1134.505737,7235124
01-02-2011,1266,1275,1144.599976,1208.199951,1094.073242,5731180
01-03-2011,1209.099976,1341.599976,1122,1262.150024,1142.927246,12368920
01-04-2011,1251.650024,1335,1214,1317.650024,1193.184448,7726461
01-05-2011,1320,1334,1190,1230.150024,1113.949829,5755111
01-06-2011,1220,1255,1085.800049,1159.900024,1050.335693,8490873
01-07-2011,1154,1225,1130,1206.650024,1092.6698,7013487
01-08-2011,1210.099976,1283.400024,1047.75,1091.550049,988.442078,9055386
01-09-2011,1091.550049,1161.900024,1041.349976,1083,987.091736,12139887
01-10-2011,1083.900024,1185,1010,1125.300049,1025.645752,16922868
01-11-2011,1122,1152.800049,907.049988,972.150024,886.058289,14654432
01-12-2011,992,1014.900024,900,918.299988,836.977112,11637803
01-01-2012,923,1226,917,1186.699951,1081.608154,21594733
01-02-2012,1190,1375,1183,1254.800049,1143.67749,13934350
01-03-2012,1267.900024,1428.949951,1247.75,1350.5,1230.902222,15775905
01-04-2012,1361,1417.050049,1260.650024,1371.849976,1250.36145,11498537
01-05-2012,1371.849976,1384.5,1093.150024,1100.25,1002.814026,17631568
01-06-2012,1106.949951,1176,1051,1169.75,1066.15918,15574764
01-07-2012,1180,1250,1074.300049,1134.849976,1034.349609,34759692
01-08-2012,1134,1206,1108.949951,1143.300049,1042.051636,13526582
01-09-2012,1130.199951,1370,1130.199951,1350.599976,1238.834473,15168653
01-10-2012,1359,1443.800049,1261.199951,1437.900024,1318.910278,17439400
01-11-2012,1439,1514.5,1434.199951,1473.849976,1351.885254,13404335
01-12-2012,1480,1539.900024,1451,1490.050049,1366.744629,10673597
01-01-2013,1497,1633.900024,1482.300049,1581.599976,1450.718506,22619308
01-02-2013,1585.199951,1639,1340.300049,1354.349976,1242.274292,15837937
01-03-2013,1364,1473.949951,1266.099976,1281.199951,1175.177368,10057538
01-04-2013,1280,1704.349976,1260,1669.599976,1531.436401,14364796
01-05-2013,1669.599976,1777,1586.099976,1605.599976,1472.732544,11814349
01-06-2013,1599.949951,1599.949951,1430,1537.75,1410.497559,10417954
01-07-2013,1540,1622.400024,1292,1326.300049,1216.545288,14357450
01-08-2013,1326,1424,1215,1243.550049,1140.643188,14997936
01-09-2013,1240.25,1503.400024,1233,1358.550049,1253.391724,12366874
01-10-2013,1364.050049,1659.900024,1364,1636.199951,1509.549927,16261202
01-11-2013,1642,1700,1557.5,1676.150024,1546.407715,12310820
01-12-2013,1670,1830,1633.949951,1763.900024,1627.365356,15588984
01-01-2014,1770,1860,1540.400024,1636.25,1509.596313,28806226
01-02-2014,1620,1733.650024,1573,1589,1466.00354,12496996
01-03-2014,1582,1980,1550,1971.75,1819.126953,14616854
01-04-2014,1976,2006.849976,1872,1923,1774.150513,7115779
01-05-2014,1923,2505,1866,2271.800049,2095.951416,8360027
01-06-2014,2270,2528,2270,2439.350098,2250.532715,6862964
01-07-2014,2453.800049,2665,2446.600098,2524.050049,2328.676025,8251976
01-08-2014,2510,2824.949951,2509,2784.5,2568.966064,6389604
01-09-2014,2804,3112,2792,3062.850098,2838.054443,7021816
01-10-2014,3048,3350,2902,3337.25,3092.315186,6077363
01-11-2014,3330,3396,3248.699951,3346.199951,3100.608398,4402208
01-12-2014,3341,3462,3250.75,3329.800049,3085.411865,5350862
01-01-2015,3320.25,3758.5,3320.25,3647.350098,3379.655762,8771122
01-02-2015,3647.350098,3725,3360,3604.399902,3339.85791,5422937
01-03-2015,3648.100098,3789.699951,3537.949951,3697.350098,3425.986084,5123634
01-04-2015,3699.949951,3873,3386.100098,3725.850098,3452.394531,8594110
01-05-2015,3725.850098,3840,3520,3785.699951,3507.851318,6067403
01-06-2015,3785.899902,4077.399902,3675.800049,4023.350098,3728.05957,6103049
01-07-2015,4034.899902,4359,3907,4331.450195,4013.546875,7555315
01-08-2015,4380,4692.399902,4062.100098,4167.200195,3861.352051,7183725
01-09-2015,4170,4763.450195,4010,4685.600098,4367.708984,11883676
01-10-2015,4720,4721.899902,4216.5,4449,4147.160156,17219844
